R0,Cases
0.0,1
0.0009615384615384616,1
0.0019230769230769232,2
0.0028846153846153848,2
0.0038461538461538464,1
0.004807692307692308,1
0.0057692307692307696,3
0.006730769230769231,1
0.007692307692307693,2
0.008653846153846154,3
0.009615384615384616,3
0.010576923076923078,3
0.011538461538461539,2
0.0125,1
0.013461538461538462,1
0.014423076923076924,1
0.015384615384615385,1
0.016346153846153847,3
0.01730769230769231,8
0.01826923076923077,8
0.019230769230769232,6
0.020192307692307693,6
0.021153846153846155,0
0.022115384615384617,2
0.023076923076923078,2
0.02403846153846154,1
0.025,1
0.025961538461538463,0
0.026923076923076925,1
0.027884615384615386,3
0.028846153846153848,4
0.02980769230769231,1
0.03076923076923077,1
0.03173076923076923,1
0.032692307692307694,2
0.03365384615384615,1
0.03461538461538462,2
0.035576923076923075,1
0.03653846153846154,1
0.0375,1
0.038461538461538464,1
0.03942307692307692,0
0.04038461538461539,1
0.041346153846153845,1
0.04230769230769231,1
0.04326923076923077,1
0.04423076923076923,1
0.04519230769230769,3
0.046153846153846156,5
0.047115384615384615,5
0.04807692307692308,5
0.04903846153846154,4
0.05,2
0.05096153846153846,3
0.051923076923076926,3
0.052884615384615384,1
0.05384615384615385,1
0.05480769230769231,1
0.05576923076923077,2
0.05673076923076923,1
0.057692307692307696,3
0.058653846153846154,2
0.05961538461538462,3
0.06057692307692308,4
0.06153846153846154,3
0.0625,5
0.06346153846153846,5
0.06442307692307692,5
0.06538461538461539,1
0.06634615384615385,0
0.0673076923076923,1
0.06826923076923076,1
0.06923076923076923,2
0.07019230769230769,4
0.07115384615384615,1
0.07211538461538461,0
0.07307692307692308,1
0.07403846153846154,1
0.075,1
0.07596153846153846,1
0.07692307692307693,1
0.07788461538461539,1
0.07884615384615384,3
0.0798076923076923,8
0.08076923076923077,3
0.08173076923076923,1
0.08269230769230769,2
0.08365384615384615,1
0.08461538461538462,2
0.08557692307692308,1
0.08653846153846154,2
0.0875,1
0.08846153846153847,1
0.08942307692307692,3
0.09038461538461538,7
0.09134615384615384,5
0.09230769230769231,4
0.09326923076923077,1
0.09423076923076923,0
0.09519230769230769,1
0.09615384615384616,1
0.09711538461538462,1
0.09807692307692308,2
0.09903846153846153,2
0.1,7
0.10096153846153846,6
0.10192307692307692,7
0.10288461538461538,7
0.10384615384615385,7
0.10480769230769231,5
0.10576923076923077,3
0.10673076923076923,2
0.1076923076923077,4
0.10865384615384616,5
0.10961538461538461,1
0.11057692307692307,2
0.11153846153846154,1
0.1125,1
0.11346153846153846,1
0.11442307692307692,2
0.11538461538461539,3
0.11634615384615385,1
0.11730769230769231,2
0.11826923076923077,0
0.11923076923076924,1
0.1201923076923077,4
0.12115384615384615,6
0.12211538461538461,4
0.12307692307692308,4
0.12403846153846154,3
0.125,11
0.12596153846153846,8
0.12692307692307692,12
0.12788461538461537,5
0.12884615384615383,3
0.12980769230769232,3
0.13076923076923078,3
0.13173076923076923,1
0.1326923076923077,0
0.13365384615384615,2
0.1346153846153846,2
0.13557692307692307,3
0.13653846153846153,4
0.1375,1
0.13846153846153847,1
0.13942307692307693,1
0.14038461538461539,3
0.14134615384615384,6
0.1423076923076923,4
0.14326923076923076,3
